vertical,company_size,tech_stack,pain_points,title_patterns,apollo_search_criteria
Aerospace/Defense,Enterprise (1000+ employees),"Legacy systems, CAD/CAM, PLM, embedded systems","Legacy system modernization, regulatory compliance, safety-critical software, real-time systems","CTO, VP Engineering, Head of Software Development, Systems Engineering Manager, Chief Technology Officer","Industry: Aerospace AND Employees: 1000+ AND Title: (CTO OR VP Engineering OR Head Software OR Systems Engineering Manager)"
Medical Devices,Mid-Market (100-1000 employees),"FDA-regulated systems, embedded software, IoT devices, cloud platforms","FDA compliance, device connectivity, data security, regulatory validation, time-to-market pressure","VP Engineering, Chief Technology Officer, Head of Product Development, Regulatory Affairs Director","Industry: Medical Devices AND Employees: 100-1000 AND Title: (VP Engineering OR CTO OR Head Product Development OR Regulatory Affairs)"
Smart Home/IoT,Growth Stage (50-500 employees),"IoT platforms, mobile apps, cloud infrastructure, embedded systems","Device connectivity, scalability, user experience, multi-platform support, time-to-market","Head of Engineering, VP Product, Chief Technology Officer, Engineering Manager","Industry: Consumer Electronics AND Employees: 50-500 AND Title: (Head Engineering OR VP Product OR CTO OR Engineering Manager)"
Financial Services,Enterprise (500+ employees),"Legacy banking systems, API platforms, cloud migration, compliance frameworks","Digital transformation, legacy system replacement, regulatory compliance, data security","CTO, VP Technology, Head of Digital Transformation, Chief Digital Officer, VP Engineering","Industry: Financial Services AND Employees: 500+ AND Title: (CTO OR VP Technology OR Head Digital OR Chief Digital Officer)"
Agriculture/AgTech,Mid-Market (100-1000 employees),"IoT sensors, mobile applications, data analytics, machinery integration","Dealer portal optimization, equipment connectivity, data collection, operational efficiency","CTO, VP Technology, Head of Product, Engineering Manager, Chief Technology Officer","Industry: Agriculture AND Employees: 100-1000 AND Title: (CTO OR VP Technology OR Head Product OR Engineering Manager)"
Municipal/Government,Government (100-5000 employees),"Legacy government systems, citizen portals, GIS systems, compliance frameworks","Digital transformation, citizen engagement, legacy modernization, budget constraints, transparency requirements","CIO, IT Director, Chief Technology Officer, Director of Innovation, City Manager","Industry: Government AND Employees: 100-5000 AND Title: (CIO OR IT Director OR CTO OR Director Innovation OR City Manager)"
Healthcare IT,Enterprise (500+ employees),"EHR systems, HIPAA compliance, cloud platforms, interoperability standards","System integration, HIPAA compliance, interoperability, patient data security, workflow optimization","CTO, VP Engineering, Chief Medical Officer, Head of IT, VP Technology","Industry: Healthcare AND Employees: 500+ AND Title: (CTO OR VP Engineering OR Chief Medical Officer OR Head IT)"
Manufacturing/Industrial,Enterprise (1000+ employees),"PLM systems, IoT sensors, automation platforms, enterprise software","Operational efficiency, equipment connectivity, data analytics, legacy system integration","CTO, VP Operations, Head of Technology, Chief Digital Officer, VP Engineering","Industry: Manufacturing AND Employees: 1000+ AND Title: (CTO OR VP Operations OR Head Technology OR Chief Digital Officer)"
Energy/Utilities,Enterprise (1000+ employees),"SCADA systems, grid management, IoT sensors, regulatory compliance platforms","Grid modernization, regulatory compliance, operational efficiency, data analytics, safety systems","CTO, VP Technology, Chief Digital Officer, Head of Engineering, Director of Operations","Industry: Energy AND Employees: 1000+ AND Title: (CTO OR VP Technology OR Chief Digital Officer OR Head Engineering)"
Automotive,Enterprise (500+ employees),"Embedded systems, connectivity platforms, manufacturing execution systems","Connected vehicle technology, manufacturing efficiency, supply chain optimization, regulatory compliance","CTO, VP Engineering, Head of Connected Services, Chief Technology Officer, VP Technology","Industry: Automotive AND Employees: 500+ AND Title: (CTO OR VP Engineering OR Head Connected OR VP Technology)"
